"","ogrid_cde","n_wells_FALSE","n_wells_TRUE","plug_cost_FALSE","plug_cost_TRUE","sum_individual_bonds_FALSE","sum_individual_bonds_TRUE","active_bond","temp_abandon_bond","bond","hypothetical_perfoot_bond","total_plugcost","uses_active_blanket","uses_tempabandon_blanket","n_temp_abandon_group","active_bond_group","active_triple","temp_abandon_bond_double","bond_2","plug_cost_lowprod"
"328","371698",10,1,680040,41100,363340,31850,50000,150000,81850,395190,721140,TRUE,FALSE,"between 1 and 5","between 1 and 10",150000,3e+05,181850,287700
"329","371710",52,2,2893392,117060,1782232,69510,125000,150000,194510,1851742,3010452,TRUE,FALSE,"between 1 and 5","between 51 and 100",375000,3e+05,444510,565092
"330","371762",0,2,0,36480,0,56080,0,150000,56080,56080,36480,TRUE,FALSE,"between 1 and 5","zero",0,3e+05,56080,36480
"331","371838",17,1,1833000,83665.5876654387,730500,38944.2646109064,75000,150000,113944.264610906,769444.264610906,1916665.58766544,TRUE,FALSE,"between 1 and 5","between 11 and 50",225000,3e+05,263944.264610906,83665.5876654387
"332","371846",8,2,682560,170832,313760,78472,50000,150000,128472,392232,853392,TRUE,FALSE,"between 1 and 5","between 1 and 10",150000,3e+05,228472,341316
"333","371956",0,2,0,86940,0,64490,0,150000,64490,64490,86940,TRUE,FALSE,"between 1 and 5","zero",0,3e+05,64490,86940
"334","37197",5,0,128760,0,146460,0,50000,0,50000,146460,128760,TRUE,TRUE,"zero","between 1 and 10",150000,0,146460,NA
"335","371978",0,19,0,786444,0,606074,0,5e+05,5e+05,606074,786444,TRUE,TRUE,"between 11 and 25","zero",0,1e+06,606074,786444
"336","372043",160,2,34496565.5259926,310020,9749427.58766544,101670,250000,150000,351670,9851097.58766544,34806585.5259926,TRUE,FALSE,"between 1 and 5","more than 100",750000,3e+05,851670,684240
"337","372066",8,3,621239.113658071,333336,303539.852276345,130556,50000,150000,180556,434095.852276345,954575.113658071,TRUE,FALSE,"between 1 and 5","between 1 and 10",150000,3e+05,280556,954575.113658071
"338","372082",0,1,0,83665.5876654387,0,38944.2646109064,0,150000,38944.2646109064,38944.2646109064,83665.5876654387,TRUE,FALSE,"between 1 and 5","zero",0,3e+05,38944.2646109064,83665.5876654387
"339","372098",157,14,27630594.3506618,1810992,8530099.05844363,651832,250000,5e+05,750000,9181931.05844363,29441586.3506618,TRUE,TRUE,"between 11 and 25","more than 100",750000,1e+06,1401832,2795556
"340","372137",0,1,0,134160,0,47360,0,150000,47360,47360,134160,TRUE,FALSE,"between 1 and 5","zero",0,3e+05,47360,134160
"341","372165",73,6,14789283.1753309,788188.762996316,4289880.52922181,281364.793832719,125000,3e+05,406364.793832719,4571245.32305453,15577471.9383272,TRUE,FALSE,"between 6 and 10","between 51 and 100",375000,6e+05,656364.793832719,788188.762996316
"342","372171",2034,17,130167300,880344,72544550,571724,250000,5e+05,750000,73116274,131047644,TRUE,TRUE,"between 11 and 25","more than 100",750000,1e+06,1321724,2586588
"343","372210",51,2,3656988,162288,1884498,77048,125000,150000,202048,1961546,3819276,TRUE,FALSE,"between 1 and 5","between 51 and 100",375000,3e+05,452048,378492
"344","372224",9,0,2068116,0,569686,0,50000,0,50000,569686,2068116,TRUE,TRUE,"zero","between 1 and 10",150000,0,150000,NA
"345","372233",0,3,0,317041.587665439,0,127840.264610906,0,150000,127840.264610906,127840.264610906,317041.587665439,TRUE,FALSE,"between 1 and 5","zero",0,3e+05,127840.264610906,317041.587665439
"346","372241",62,1,1761673.58766544,28800,1843612.26461091,29800,125000,150000,154800,1873412.26461091,1790473.58766544,TRUE,FALSE,"between 1 and 5","between 51 and 100",375000,3e+05,404800,1735369.58766544
"347","372262",13,2,1824924,286632,629154,97772,75000,150000,172772,726926,2111556,TRUE,FALSE,"between 1 and 5","between 11 and 50",225000,3e+05,322772,286632
"348","372279",3,46,231315.175330877,1798747.05198526,113552.529221813,1449791.17533088,50000,1e+06,1050000,1563343.70455269,2030062.22731614,TRUE,TRUE,"more than 25","between 1 and 10",150000,2e+06,1563343.70455269,1798747.05198526
"349","372286",194,1,11247324,42000,6724554,32000,250000,150000,282000,6756554,11289324,TRUE,FALSE,"between 1 and 5","more than 100",750000,3e+05,782000,166620
"350","372290",3,3,376056,341232,137676,131872,50000,150000,181872,269548,717288,TRUE,FALSE,"between 1 and 5","between 1 and 10",150000,3e+05,269548,341232
"351","372417",42,0,9160860,0,2576810,0,75000,0,75000,2576810,9160860,TRUE,TRUE,"zero","between 11 and 50",225000,0,225000,NA
"352","372439",1,0,142800,0,48800,0,50000,0,48800,48800,142800,FALSE,TRUE,"zero","between 1 and 10",150000,0,48800,NA
"353","372497",31,0,2036628,0,1114438,0,75000,0,75000,1114438,2036628,TRUE,TRUE,"zero","between 11 and 50",225000,0,225000,NA
"354","372536",3,2,154981.587665439,19440,100830.264610906,53240,50000,150000,103240,154070.264610906,174421.587665439,TRUE,FALSE,"between 1 and 5","between 1 and 10",150000,3e+05,154070.264610906,174421.587665439
"355","372548",1,0,251604,0,66934,0,50000,0,50000,66934,251604,TRUE,TRUE,"zero","between 1 and 10",150000,0,66934,NA
"356","372583",2,0,435456,0,122576,0,50000,0,50000,122576,435456,TRUE,TRUE,"zero","between 1 and 10",150000,0,122576,NA
"357","372658",2,2,159840,107988,76640,67998,50000,150000,117998,144638,267828,TRUE,FALSE,"between 1 and 5","between 1 and 10",150000,3e+05,144638,107988
"358","372759",3,0,421764,0,145294,0,50000,0,50000,145294,421764,TRUE,TRUE,"zero","between 1 and 10",150000,0,145294,163800
"359","37277",2,2,191952,148080,81992,74680,50000,150000,124680,156672,340032,TRUE,FALSE,"between 1 and 5","between 1 and 10",150000,3e+05,156672,340032
"360","372823",12,0,918168,0,453028,0,75000,0,75000,453028,918168,TRUE,TRUE,"zero","between 11 and 50",225000,0,225000,NA
